  - ACTIVE DISPLAY PAUSED -|   - Affichage actif en pause -||
  DNC|   DNC||
 ALT PHONE DIAL|  cadran de téléphone alt||
 Comments| Commentaires||
 DIAL | COMPOSER||
 DNC|  DNC||
 Email| Email||
 Exten %1s is not valid or queryCID %2s is not valid, Originate command not inserted| %1s eXten ne est pas %2s valides ou querycid ne est pas valide, originaires commande pas inséré||
 Gender|  sexe||
 If using as a web phone, you can set this to Y to use the servers External IP to register to instead of the Server IP. Default is empty.|  Si vous utilisez un téléphone Web, vous pouvez définir ce à Y à utiliser les serveurs IP externe à se inscrire pour la place de l'adresse IP du serveur. Par défaut est vide.||
 NO LIVE CALLS WAITING|  NO appels en direct ATTENTE||
 NOTE: stats taken from shift specified|  NOTE: stats prises de changement spécifiées||
 Pause Code %1s has been recorded|  Code pause %1s ont été enregistrées||
 Phone Area Code Outside Dialable Zone|  code régional de téléphone hors de la zone sélectionnable||
 Phone: |  téléphone:||
 Postal Code Outside Dialable Zone|  code postal dehors de la zone sélectionnable||
 Setting this option to Y will attempt to load a web-based phone when the agent logs into their agent screen. Default is N. The Y_API_LAUNCH option can be used with the agent API to launch the webphone in a separate Iframe or window.|  Mettre cette option à Y tentera de charger un téléphone basé sur le Web lorsque l'agent se connecte à leur écran de l'agent. Par défaut est l'option N. Le Y_API_LAUNCH peut être utilisé avec l'API d'agent pour lancer le webphone dans une Iframe ou une fenêtre séparée.||
 State| État||
 The password used for the phone user to login to the web-based client applications. IMPORTANT, this is the password only for the agent web interface phone login, to change the sip.conf or iax.conf password, or secret, for this phone device you need to modify the Registration Password in the next field.|  Le mot de passe utilisé pour l'utilisateur du téléphone de se connecter aux applications client sur le Web. IMPORTANT, ce est le mot de passe que pour l'agent interface web téléphone connexion, de changer le mot de passe ou sip.conf iax.conf, ou secrète, pour cet appareil de téléphone, vous devez modifier l'enregistrement Mot de passe dans le champ suivant.||
 This setting allows the web phone to be set to automatically answer calls that come in by setting it to Y, or to have calls ring by setting it to N. Default is Y.|  Ce paramètre permet au téléphone Web pour être configuré pour répondre automatiquement aux appels qui viennent en en mettant à Y, ou d'avoir des appels anneau en le définissant à N. défaut est Y.||
 This setting allows you to activate or deactivate the dialpad for this webphone. Default is Y for enabled. TOGGLE will allow the user to view and hide the dialpad by clicking a link. This feature is not available on all webphone versions. TOGGLE_OFF will default to not show the dialpad on first load, but will allow the user to show the dialpad by clicking on the dialpad link.|  Ce réglage vous permet d'activer ou de désactiver le clavier pour cette webphone. Par défaut est Y pour permis. TOGGLE permettra à l'utilisateur de visualiser et de cacher le clavier en cliquant sur un lien. Cette fonctionnalité ne est pas disponible sur toutes les versions de webphone. TOGGLE_OFF sera par défaut pour ne pas afficher le clavier sur le premier chargement, mais permettra à l'utilisateur pour afficher le clavier en cliquant sur le lien de clavier.||
 Title| Titre||
 You are not allowed to dial into other agent sessions|  vous n'êtes pas autorisé à composer dans d'autres sessions de l'agent||
 to %1s on %2s|  à %1s sur %2s||
% MIX|% MIX||
% OF CALLS GROUPED BY HOLD TIME (SEC)|% Des appels regroupés par TEMPS DE MAINTIEN (SEC)||
%1s %2s %3s or %4s is not valid| %1s %2s %3s ou %4s ne est pas valide||
%1s command sent for Channel %2s on %3s|%1s commande envoyée pour le canal %2s sur %3s||
